,Code,accountsPayable,cash,commonStock,deferredLongTermAssetCharges,goodWill,intangibleAssets,longTermDebt,longTermInvestments,minorityInterest,netReceivables,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiab,otherLiab,otherStockholderEquity,propertyPlantEquipment,retainedEarnings,shortLongTermDebt,shortTermInvestments,totalAssets,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalStockholderEquity,treasuryStock,inventory,capitalSurplus,deferredLongTermLiab
2017-06-30 00:00:00,VCX,64300000.0,42200000.0,8493200000.0,84300000.0,427000000.0,172400000.0,4069800000.0,90500000.0,,45700000.0,11148300000.0,152600000.0,76100000.0,458900000.0,7800000.0,4600000.0,15648000000.0,3249900000.0,4289600000.0,,16658800000.0,168300000.0,630800000.0,4911100000.0,11747700000.0,4600000.0,,,
2021-06-30 00:00:00,SVW,243900000.0,160900000.0,3382200000.0,,1145500000.0,481900000.0,1678600000.0,3223900000.0,16700000.0,832300000.0,2421500000.0,147900000.0,45300000.0,401100000.0,461500000.0,-568100000.0,1913400000.0,1243500000.0,805500000.0,,8755300000.0,1842700000.0,1763900000.0,4689700000.0,4048900000.0,-576800000.0,804200000.0,,
0,PMGOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-30 00:00:00,LLC,3413900000.0,1249200000.0,2406800000.0,129400000.0,1194200000.0,220900000.0,1860500000.0,2037900000.0,103100000.0,2749200000.0,4648300000.0,10714100000.0,79500000.0,7021400000.0,2069100000.0,-5300000.0,425800000.0,3686600000.0,2162000000.0,,20854200000.0,6261300000.0,10757700000.0,14687700000.0,6063400000.0,-30000000.0,2152000000.0,,
2020-12-31 00:00:00,ALD,935800000.0,367600000.0,502600000.0,453800000.0,405700000.0,152700000.0,801500000.0,173000000.0,273600000.0,837800000.0,2392700000.0,506900000.0,72900000.0,822700000.0,553900000.0,5600000.0,3467700000.0,2444500000.0,,,7317900000.0,2611900000.0,1983800000.0,4093200000.0,2951100000.0,4000000.0,1333600000.0,,
2021-06-30 00:00:00,AZJ,234000000.0,148800000.0,206600000.0,,24900000.0,169000000.0,3745600000.0,151100000.0,,501600000.0,4080700000.0,124500000.0,11100000.0,138300000.0,906500000.0,-56600000.0,8483200000.0,657500000.0,59100000.0,,9764600000.0,811900000.0,717200000.0,5490000000.0,4274600000.0,-56600000.0,150400000.0,3467100000.0,
2021-06-30 00:00:00,EVN,111876000.0,160062000.0,2183727000.0,94917000.0,,,508389000.0,62904000.0,,104990000.0,2534890000.0,257000000.0,,51313000.0,553674000.0,49406000.0,3172769000.0,301757000.0,102843000.0,,3957035000.0,464362000.0,349398000.0,1422145000.0,2534890000.0,49406000.0,188558000.0,,
2021-06-30 00:00:00,CAR,8397000.0,284004000.0,755357000.0,17841000.0,480008000.0,117726000.0,43195000.0,105482000.0,1765000.0,42732000.0,341002000.0,28158000.0,33658000.0,35962000.0,36997000.0,-21440000.0,67800000.0,204819000.0,35000.0,,1163591000.0,364417000.0,86182000.0,223090000.0,938736000.0,-21440000.0,,,
2021-06-30 00:00:00,BLD,484100000.0,903800000.0,3839500000.0,133100000.0,71200000.0,1200000.0,1672200000.0,23300000.0,,486100000.0,4291600000.0,187300000.0,3654700000.0,669900000.0,170300000.0,122800000.0,2031700000.0,401700000.0,1800000.0,11600000.0,7584400000.0,5269700000.0,1280400000.0,3220400000.0,4364000000.0,122800000.0,213500000.0,,
2021-06-30 00:00:00,IGO,47286000.0,528514000.0,2648574000.0,30721000.0,,,,1855939000.0,,79372000.0,3199877000.0,30721000.0,2751000.0,171952000.0,155848000.0,22373000.0,963475000.0,528930000.0,,,3608732000.0,758597000.0,232380000.0,408855000.0,3199877000.0,22373000.0,34013000.0,,
